precision,error_site,micro,input_type,min_relative_error,max_relative_error,median_relative_error
int,execution_units,IADD,small,3.4921399455387507e-10,1.0,0.0005492786915542359
int,execution_units,IADD,common,2.686507428122653e-10,1.071428572212593,0.00036621093771316277
int,execution_units,IADD,big,3.492619535055516e-10,1.0,0.00036624446826779265
int,execution_units,IMUL,small,9.155273539818155e-05,0.7500000670552314,0.3750000041909517
int,execution_units,IMUL,common,9.155273539818155e-05,0.7500000670552314,0.3750000041909517
int,execution_units,IMUL,big,9.155273539818155e-05,0.7500000670552314,0.3750000335276157
int,execution_units,IMAD,small,5.587935510142917e-09,0.7500000670552314,0.3750000041909517
int,execution_units,IMAD,common,2.159262603544419e-05,1.956521722823487,0.6521740695769727
int,execution_units,IMAD,big,5.587935510142917e-09,0.7500000670552314,0.3750000041909517
int,pipeline,IADD,small,2.3283064376228985e-10,2.000000002095476,0.5000000006984919
int,pipeline,IADD,common,2.686507428122653e-10,1.1428571439262631,0.4285714287852526
int,pipeline,IADD,big,3.209287252141322e-10,1.0,0.17647058905704932
int,pipeline,IMUL,small,9.778887047123472e-09,1.0,0.76289768099724
int,pipeline,IMUL,common,9.778887047123472e-09,1.0,0.76289768099724
int,pipeline,IMUL,big,6.021482166314461e-10,7.499885672148689,0.5250780903297714
int,pipeline,IMAD,small,1.0477378979670726e-09,7.999969489872428,1.0023651153386446
int,pipeline,IMAD,common,6.589546519605772e-10,8.334159976718215,0.5671476137910091
int,pipeline,IMAD,big,2.328306462559549e-10,1.0,0.7611248552721807
int,scheduler,IADD,small,2.2883469126236648e-05,1.0,0.1103937919541868
int,scheduler,IADD,common,3.4924596568409235e-10,1.0,0.5683013589754244
int,scheduler,IADD,big,2.288870748001822e-05,1.0,0.11044462252376072
int,scheduler,IMUL,small,9.778887047123472e-09,1.0,0.47115329881825485
int,scheduler,IMUL,common,8.800998342411125e-08,1.0,0.2729248049756393
int,scheduler,IMUL,big,8.800998342411125e-08,1.0,0.47115329881825485
int,scheduler,IMAD,small,4.57781134919376e-05,0.6543654051251682,0.00032044400034793617
int,scheduler,IMAD,common,0.00024098050169769843,1.6989003084238201,0.28317433540639303
int,scheduler,IMAD,big,8.800998332165414e-08,0.6543812269005881,0.1036602105255379
float,execution_units,FADD,small,1.0728768785805924e-07,5.628435355900133e+32,0.0008789014461485704
float,execution_units,FADD,common,6.200843203060439e-08,1.8446744073709552e+19,0.008127569203115378
float,execution_units,FADD,big,8.184771545019681e-08,1.8446744073709552e+19,0.0026819859398720487
float,execution_units,FMUL,small,6.235979569184858e-08,3.402823669209385e+38,136028.65875349907
float,execution_units,FMUL,common,6.249167688978424e-08,1.8446744073709552e+19,0.016899560807392237
float,execution_units,FMUL,big,6.709304745612014e-08,1.8446744073709552e+19,0.03517607966467432
float,execution_units,FFMA,small,1.0258107315600008e-07,3.4028620668260726e+38,0.013445658140407787
float,execution_units,FFMA,common,6.41447598413777e-08,262143.0,0.016815422792959722
float,execution_units,FFMA,big,7.041190400547974e-08,4294967295.0,0.4090980206932137
float,execution_units,FSIN,small,5.960473004064089e-08,3.402823669209385e+38,0.00390625558794344
float,execution_units,FSIN,common,8.432716409855315e-08,3.402823669209385e+38,0.0013816162565906947
float,execution_units,FSIN,big,5.960466609168032e-08,3.402823669209385e+38,0.002002180338685633
float,execution_units,FEXP,small,8.2926138351979e-08,1.8446744073709552e+19,0.002717323701517648
float,execution_units,FEXP,common,6.918328235793784e-08,1.8446744073709552e+19,0.002711176872253418
float,execution_units,FEXP,big,8.03013871663126e-08,1.824999371606838e+37,0.002631315854665732
float,pipeline,FADD,small,6.421776913378063e-08,1.636538191619492e+38,1.0
float,pipeline,FADD,common,6.433227982791887e-08,495328861963.2254,1.0
float,pipeline,FADD,big,9.520389437242164e-08,6.380978015611072e+17,1.0
float,pipeline,FMUL,small,9.520389437242164e-08,6.380978015611072e+17,1.0
float,pipeline,FMUL,common,6.249167688978424e-08,6.058649086195015e+35,1.0
float,pipeline,FMUL,big,7.030129023957977e-08,8.101236072511827e+19,0.9999999999960322
float,pipeline,FFMA,small,1.0258107315600008e-07,3.8435682008722804e+33,1.0
float,pipeline,FFMA,common,6.67054803621734e-08,1.8446761300710584e+19,1.0
float,pipeline,FFMA,big,7.811254471064418e-08,1.8446744073709552e+19,1.0
float,pipeline,FSIN,small,1.1920946008128178e-07,3.2494669338730284e+38,1.0
float,pipeline,FSIN,common,1.686543281971063e-07,1.5331915693276983e+38,1.0
float,pipeline,FSIN,big,5.960466609168032e-08,5.418510538895691e+37,1.0
float,pipeline,FEXP,small,1.1920928955078125e-07,1.8446744073709552e+19,1.0
float,pipeline,FEXP,common,6.918328235793784e-08,1.8446744073709552e+19,1.0
float,pipeline,FEXP,big,8.03013871663126e-08,1.8446744073709552e+19,1.0
float,scheduler,FADD,small,4.613391861182824e-06,1.03813868252901,1.0
float,scheduler,FADD,common,0.9971272863158982,2.7981891910075247,1.000041191059245
float,scheduler,FADD,big,4.613391861182824e-06,1.03813868252901,1.0
float,scheduler,FMUL,small,0.9999999999999996,1.4371136297246607e+19,731.9091346378682
float,scheduler,FMUL,common,0.9990212937045796,208926.8351339468,1.0
float,scheduler,FMUL,big,0.9999999999953709,1.0000000000015417,1.0
float,scheduler,FFMA,small,6.41447598413777e-08,15.0,0.009096201673739415
float,scheduler,FFMA,common,0.9994717262652192,1.0000481830170416,0.99996818065973
float,scheduler,FFMA,big,1.0,1.0000000165308358,1.0
float,scheduler,FSIN,small,1.0,1.0,1.0
float,scheduler,FSIN,common,1.0,1.0,1.0
float,scheduler,FSIN,big,1.0,2273.942806802676,2273.942806802676
float,scheduler,FEXP,small,0.9999999999996968,3298535079935.012,0.9999999999996968
float,scheduler,FEXP,common,0.9916271078515796,1.0,1.0
float,scheduler,FEXP,big,0.999999999999939,1.0,0.999999999999939
